,proverb,meaning,example
1013,ننه من غریبم دراوردن یا راه انداختن,برای جلب ترحم کسی گریه وزاری یا اه وناله ی بسیار کردن,همچین تنها به قاضی نرو، تا اون خدابیامرز زنده بود، به خونش تشنه بودی، حالا یهو عزیز شد؟... خوب، کمتر ننه من غریبم دربیار.  ( زنده به گور – صادق هدایت )   معروف بود که حتی از شیخ علی دست فروش چیزدارتر است ! منتها خودش را به ننه من غریبم می زد و گاهی اوقات قرض می کرد. برای انکه کسی جرأت نکند از او قرض بخواهد.   ( چهره خانه – احسان طبری )
1014,نه به ان شوری شور نه به این بی نمکی,هر چیزی باید متعادل باشد، افراط و تفریط درست نیست.,
1015,نه به داره نه به باره,اشاره به قطعی و حتمی نبودن کاری.,
1016,نه بیل و سه پایه پلو می خوره تو سایه,اشاره به ادم خوش شانسی که بدون تحمل رنج و زحمت و دردسر زندگی اش هم بهتر از دیگران باشد.,
1017,نه چک زدیم نه چونه عروس اومد تو خونه,بدون رنج و زحمت صاحب چیزی شدن و به هدف رسیدن.,
1018,نه خود خورد نه کس دهد گنده کند به سگ دهد,خسیسی که مالش را نه برای خود خرج کند و نه به دیگران ببخشد بالاخره به طریقی مالش به هدر خواهد رفت.,
1019,نه راه پس داره نه راه پیش,کسی که در بن بست و مشکلی لاینحل قرار گرفته و هیچ چاره ای نداشته باشد، گیر کردن بر سر دو راهی و بلاتکلیف ماندن.,
1020,نه سیخ بسوزه نه کباب,در کاری بهترین و متعادل ترین روش را پیش گرفتن، به طوری که هیچکدام از دو طرف ضرری وارد نیاید.,
1021,نه قم خوبه نه کاشون لعنت به هر دوتاشون,اشاره مزاح گونه به بعضی خصلت های نه چندان خوب مردم این دو شهر ( صد البته که در همه جا ادم های خوب و بد وجود دارند ).,
1022,نه گذاشت نه ورداشت,ناگهان و بدون مقدمه و صریح و بی ملاحظه حرف نادرست و نامربوطی را به طرف مقابل گفتن.,
1023,نه گذاشتن و نه برداشتن,بی مقدمه یا ناگهانی و بی انکه انتظار برود، کاری را انجام دادن یا حرفی زدن,"نه گذاشت و نه برداشت، یک دفعه گفت: ""پاشید بزنید به چاک، حوصله ی هیچ کدومتون رو ندارم""."
1024,نو دیده قبا دیده,اشاره به ادم بی ظرفیت و ندید بدیدی که تازه به مال و منال رسیده باشد. و با خود نمایی هر چه را به رخ این و ان بکشد.,
1025,نوبر چیزی را اوردن یا نوبرش را اوردن,به گمان خود چیزی بسیار مهم یا بدیع عرضه کردن؛ گاه در پاسخ کسی گفته می شود که ادعای بسیار درمورد کار یا ویژگی خود دارد.,- خیال می کنه نوبر لیسانسو اورده. امروزه اگه توی سر سگ بزنی، یه لیسانس داره.  - چه خبره، مگه نوبرشو اوردین؟ شما هم مثل همه باید توی صف منتظر بمونین تا نوبتتون بشه.
1026,نوبرش را اورده,خطاب به کسی که برای انجام کاری منت گذارده و یا به چیزی نازیده و پز پدهد، چنانکه گویی ان کار فقط از او بر می امده و با ان چیز را فقط او دارد.,
1027,نوش دارو پس از مرگ سهراب,چاره جویی و علاج واقعه بعد از وقوع، کار یا کمکی که در زمان لازم انجام نشده و پس از اینکه کار از کار گذشت در صدد کمک و اصلاح بر ایند.,
1028,نونش تو روغنه,کسی که کار و بار و وضع مالی خوب و روبراهی دارد.,
1029,نوکر بی جیره مواجب,کسی که خدمت مفت و بدون مزد بکند.,
1030,نوکه اومد به بازار کهنه می شه دل ازار,معمولا با روی کار امدن هر چیز نو و تازه، چیز قدیمی مورد کم توجهی و بی مهری قرار گرفته و از قدر و منزلش کاسته می شود.,
1031,نک و نال,. [ ن  ک  یا ن ک  ک  ] ( ا مرکب ، از اتباع ) در تداول ، شکایت. گله. اظهار عدم رضایت. شکایتی نه روشن و واضح. ( یادداشت مؤلف ). ناله و زاری. نغنغ. شکوه و شکایت. اظهار درد زن حامله در موقع نزدیکی زایمان. ( فرهنگ فارسی معین ). از سنگینی باری یا دشواری کاری یا تحمل دردی یا نامطبوعی و ناپذیری امری به نرمی و ابهام نالیدن و شکوه کردن.-  کردن ؛ لندلند و نغنغ کردن.,
1032,نکرده کار را نبر به کار,شخصی بی تجربه و بی اطلاع را نباید وارد کار کرده و کار را سپرد.,
1033,نیش عقرب نه از ره کین است اقتضای طبیعتش این است,کسی یا چیزی که ذاتی و بی غرض و بدون اختیار ازار دهنده و ناراحت کننده و مشکل افرین و در ضمن تغییر ناپذیر باشد.,
1034,وادادن,. [ د ] ( مص مرکب ) بازدادن. ( انندراج ) ( ناظم الاطباء ). پس دادن. دوباره دادن. ( ناظم الاطباء ). رد کردن : انچه خوردی واده ای مرگ سیاه از نبات و ورد و از برگ و گیاه.مولوی.خار در پا شد چنین دشوار یاب خار در دل چون بود واده جواب.مولوی.من در اندم وادهم چشم تراتا فروخوانی معظم جوهرا.مولوی ( مثنوی چ بروخیم دفتر سوم ص 474 ).بازفرمان ایدش بردار سراز سجود و واده از کرده خبر.مولوی ( مثنوی دفتر سوم ).چون بیاید شام و دزدد جام من گویمش واده که نامد شام من.مولوی ( مثنوی دفتر سوم ).ای نوخطی که شوختری از هزار طفل از طفلکی که بوسه خوری بوسه وامده.مسیح کاشی ( از انندراج ). || منقطع گشتن موقت ( درد ). فاصله دادن. فاصله پدید کردن. فرجه دادن. میانه دادن. موقتا رها کردن. رها کردن. موقتا ارام شدن. ( یادداشت مؤلف ). || مقاومت نکردن. کوتاه امدن. ممانعت نکردن.استرداد؛  خواستن. ( زوزنی ).-  سبق ؛ فراموش کردن. ( انندراج ).- به دست  ؛ در این شاهد ظاهرا به معنی سپردن و لو دادن و تسلیم کردن است : انگه چون بر زید علی دست یافتند به این که تیر بر پیشانیش امد و کشته شد پنهان در جویی دفنش کردند تا مروانیان بندانند. هم رافضیان رهنمونی کردند تا او را براوردند وبراویختند و زنش را به دست د تا زن ابستن را دستهای نگار برنهاده ببریدند و اینها همه رافضیان کردند هم با علی و هم با حسن و هم با حسین و هم با اولاد او. ( ص 408 کتاب النقض تألیف عبدالجلیل قزوینی رازی ).-  نان در تنور یا رنگ از دیوار ؛ افتادن. مقابل چسبیدن و گرفتن.,
1035,وارفتن,. [ ر ت  ] ( مص مرکب ) متحیر شدن. ( انندراج ). تعجب کردن. سست شدن از یأس. بکلی نومید شدن. مبهوت و مأیوس شدن. ( از یادداشتهای مؤلف ). || مضمحل و از هم پاشیده شدن. متلاشی گشتن. ( ناظم الاطباء ). بشدت ذوب شدن. اب شدن. از هم جدا شدن اجزاء چیزی در اب و غیره. از یکدیگر باز شدن. مقابل بستن : کوفته ها وارفته است ، متلاشی شده. ( یادداشت مؤلف ). || گردش کردن و سیر نمودن. ( ناظم الاطباء ). || باز رفتن. دوباره رفتن : زندگانی اشتی دشمنان مرگ  به اصل خویش دان.مولوی.ان شعاعی بود بر دیوارشان جانب خورشید وارفت ان نشان.مولوی ( دفتر سوم مثنوی چ بروخیم ص 408 ).گفت برخیزم همانجا واروم کافر ار گشتم دگر ره بگروم.مولوی ( دفتر سوم مثنوی چ بروخیم ص 561 ).واروم انجا بیفتم پیش اوپیش ان صدر نکواندیش او.مولوی ( دفتر سوم مثنوی چ بروخیم ص 561 ). || برگشتن. بازگشتن : کاروان دائم ز گردون میرسدتا تجارت میکند وامیرود.مولوی ( دفتر سوم مثنوی چ بروخیم ص 588 ).|| رفتن : تدجی ؛  به هرطرف. ابلنقع الکرب ؛ وارفت اندوه. ( منتهی الارب ).,
